,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,北 海 道,青　  森,岩　  手,宮  　城,秋  　田,山  　形,福　  島,茨　  城,栃　  木,群　  馬,埼　  玉,千　  葉,東　  京,神 奈 川,新　  潟,富　  山,石　  川,福　  井,山　  梨,長　  野,岐　  阜,静　  岡,愛　  知,三　  重,滋　  賀,京　  都,大　  阪,兵　  庫,奈　  良,和 歌 山,鳥  　取,島　  根,岡　  山,広　  島,山  　口,徳　  島,香　  川,愛　  媛,高　  知,福  　岡,佐  　賀,長　  崎,熊　  本,大　  分,宮　  崎,鹿 児 島,沖　  縄
,奈　　　　良, ,3 ,10 ,666 ,23 ,9 ,83 ,253 ,425 ,405 ,"1,254 ",275 ,349 ,426 ,147 ,60 ,101 ,284 ,21 ,88 ,372 ,841 ,"1,688 ","1,198 ",919 ,"3,055 ","6,310 ","2,463 ","8,304 ",151 ,5 ,27 ,552 ,416 ,61 ,76 ,55 ,45 ,58 ,377 ,204 ,10 ,16 ,72 ,33 ,40 , 
,和　 歌 　山, ,167 ,42 ,225 ,6 ,35 ,224 ,456 ,211 ,188 ,749 ,"1,643 ","2,274 ",997 ,312 ,247 ,681 ,72 ,5 ,91 ,720 ,322 ,"3,670 ","1,520 ",443 ,"1,182 ","18,836 ","7,068 ",363 ,"11,524 ",144 ,3 ,776 ,"1,296 ",85 ,384 ,720 ,45 ,28 ,"1,918 ",181 ,57 ,729 ,10 ,9 ,597 , 
,鳥　　　　取, ,0 ,0 ,59 ,3 ,74 ,18 ,217 ,54 ,237 ,350 ,46 ,499 ,301 ,39 ,211 ,32 ,207 ,26 ,192 ,647 ,705 ,"1,693 ",181 ,656 ,"1,485 ","3,797 ","3,600 ",244 ,81 ,"17,581 ",814 ,"1,455 ",604 ,225 ,11 ,47 ,9 ,54 ,454 ,296 ,22 ,16 ,18 ,68 ,270 , 
,島　　　　根, , ,2 ,60 ,1 ,1 ,2 ,29 ,46 ,0 ,72 ,126 ,371 ,279 ,"1,445 ",90 ,6 ,63 ,0 ,2 ,102 ,200 ,414 ,545 ,411 ,136 ,"2,098 ","3,795 ",87 ,17 ,"16,380 ","41,699 ","1,993 ","2,729 ","3,129 ",113 ,198 ,247 ,63 ,219 ,3 ,4 ,139 ,502 , ,30 , 
,岡　　　　山, ,52 ,59 ,247 ,22 ,65 ,266 ,"2,030 ","1,169 ",542 ,"2,598 ","1,466 ","12,311 ","3,553 ","1,269 ","1,063 ",344 ,642 ,79 ,411 ,"1,110 ","3,281 ","9,739 ","1,962 ","1,786 ","2,122 ","15,976 ","27,812 ","1,133 ","1,309 ","6,664 ","4,029 ","256,459 ","62,017 ","7,496 ","2,136 ","8,069 ","4,282 ",726 ,"2,614 ","1,092 ",344 ,"1,581 ",634 ,392 ,555 , 
,広　　　　島,10 ,58 ,77 ,429 ,97 ,149 ,173 ,526 ,236 ,386 ,"1,506 ",720 ,554 ,"1,821 ",216 ,79 ,992 ,86 ,73 ,"1,848 ","1,797 ","1,642 ","8,341 ",608 ,"1,413 ",610 ,"6,800 ","5,536 ",216 ,372 ,"1,878 ","2,907 ","13,372 ","222,277 ","7,232 ",959 ,"1,574 ","1,227 ",263 ,"7,255 ",302 ,235 ,359 ,317 ,218 ,190 , 
,山　　　　口,15 ,9 ,5 ,140 ,5 ,71 ,"1,126 ",550 ,125 ,332 ,742 ,600 ,802 ,"1,334 ",230 ,221 ,194 ,428 ,58 ,64 ,255 ,"1,185 ","5,223 ","2,757 ","1,077 ",330 ,"5,285 ","6,576 ",440 ,"1,554 ","2,036 ","3,528 ","3,478 ","18,878 ","120,208 ",634 ,"1,508 ","3,492 ",255 ,"15,082 ","1,716 ",796 ,"1,954 ","2,341 ","1,220 ",466 , 
,徳　　　　島, ,19 ,11 ,61 ,19 ,6 ,26 ,291 ,222 ,62 ,516 ,839 ,250 ,540 ,22 ,107 ,31 ,275 ,4 ,453 ,456 ,684 ,"1,010 ",390 ,803 ,599 ,"5,342 ","7,177 ",139 ,89 ,56 ,32 ,"1,705 ",745 ,59 ,"22,365 ","1,945 ","4,131 ","1,105 ","1,073 ",54 ,16 ,8 ,16 ,9 ,23 , 
,香　　　　川, ,22 ,52 ,124 ,4 ,49 ,46 ,280 ,"3,711 ",186 ,"1,802 ",436 ,855 ,474 ,254 ,123 ,850 ,384 ,56 ,503 ,207 ,"1,492 ","1,695 ","1,370 ","2,365 ",655 ,"4,670 ","3,753 ",147 ,"2,673 ",60 ,354 ,"3,059 ","2,661 ",537 ,"4,567 ","27,039 ","7,120 ","2,773 ","1,661 ",453 ,25 ,172 ,106 ,351 ,346 , 
,愛　　　　媛, ,7 ,401 ,280 ,172 ,435 ,835 ,"2,299 ",964 ,882 ,"7,869 ",528 ,826 ,"1,855 ",112 ,"1,350 ",346 ,771 ,74 ,445 ,611 ,"2,219 ","6,387 ",202 ,"1,371 ","1,145 ","17,366 ","9,089 ",472 ,104 ,468 ,471 ,"2,556 ","8,641 ","1,224 ","2,313 ","7,235 ","113,628 ","3,675 ","2,628 ",686 ,37 ,936 ,207 ,460 ,750 , 
,高　　　　知, ,0 ,3 ,27 ,0 ,64 ,28 ,9 ,14 ,10 ,356 ,113 ,552 ,65 ,533 ,75 ,8 ,6 ,0 ,58 ,6 ,"2,018 ",516 ,20 ,21 ,64 ,684 ,323 ,2 ,18 ,1 ,8 ,733 ,141 ,357 ,635 ,658 ,334 ,"37,498 ",120 ,37 ,17 ,3 ,2 ,40 ,57 , 
,福　　　　岡, ,109 ,346 ,367 ,40 ,31 ,167 ,465 ,354 ,998 ,"1,731 ","1,067 ","1,696 ","2,126 ",324 ,398 ,115 ,103 ,122 ,250 ,327 ,"2,698 ","8,579 ",986 ,948 ,"6,357 ","6,168 ","3,623 ",219 ,298 ,395 ,"2,801 ","5,748 ","8,384 ","18,831 ",271 ,"1,195 ","1,417 ",603 ,"396,293 ","31,395 ","14,931 ","32,474 ","20,868 ","6,509 ","10,536 ", 
,佐　　　　賀,3 ,11 ,0 ,87 ,2 ,7 ,8 ,224 ,212 ,127 ,656 ,283 ,216 ,835 ,5 ,6 ,16 ,20 ,5 ,25 ,33 ,301 ,"1,039 ",244 ,155 ,444 ,806 ,"1,030 ",16 ,11 ,3 ,34 ,218 ,584 ,843 ,10 ,47 ,67 ,2 ,"19,673 ","27,523 ","3,679 ","3,469 ","1,975 ",743 ,"1,119 ", 
,長　　　　崎, ,"1,699 ",11 ,345 ,7 ,2 ,26 ,253 ,18 ,21 ,186 ,131 ,454 ,360 ,24 ,40 ,103 ,7 ,2 ,16 ,60 ,37 ,302 ,65 ,152 ,265 ,"1,600 ",758 ,23 ,87 ,12 ,4 ,195 ,447 ,160 ,43 ,23 ,18 ,10 ,"2,443 ","2,806 ","26,966 ","1,275 ","1,001 ",285 ,"1,433 ", 
,熊　　　　本, ,7 ,9 ,31 ,1 ,27 ,47 ,62 ,56 ,840 ,985 ,40 ,"1,170 ","1,022 ",29 ,13 ,20 ,352 ,45 ,40 ,96 ,"1,326 ","2,461 ",68 ,96 ,145 ,"1,377 ",701 ,10 ,134 ,9 ,23 ,"1,299 ","1,615 ",246 ,46 ,22 ,71 ,7 ,"18,559 ","2,273 ","2,740 ","71,121 ","2,802 ","11,313 ","4,412 ", 
,大　　　　分, ,1 , ,47 ,1 ,0 ,26 ,52 ,41 ,17 ,739 ,232 ,458 ,345 ,9 ,33 ,17 ,85 ,16 ,5 ,18 ,39 ,522 ,236 ,210 ,48 ,"1,272 ",391 ,80 ,62 ,4 ,295 ,373 ,618 ,"2,112 ",139 ,66 ,446 ,461 ,"11,584 ","2,602 ",972 ,"7,326 ","57,472 ","3,384 ",455 , 
,宮　　　　崎,78 ,4 ,36 ,34 ,1 ,1 ,48 ,119 ,128 ,313 ,201 ,732 ,349 ,211 ,41 ,10 ,30 ,45 ,3 ,12 ,47 ,628 ,413 ,117 ,181 ,122 ,668 ,"1,989 ",1 ,37 ,116 ,11 ,328 ,811 ,798 ,149 ,31 ,237 ,21 ,"4,956 ","1,217 ","1,154 ",977 ,534 ,"58,433 ","7,885 ", 
,鹿 　児 　島,0 ,3 ,23 ,14 ,2 ,3 ,30 ,83 ,62 ,239 ,671 ,219 ,717 ,212 ,28 ,14 ,3 ,9 ,3 ,7 ,6 ,162 ,"1,534 ",94 ,43 ,118 ,867 ,815 ,49 ,73 ,3 ,12 ,640 ,658 ,134 ,31 ,224 ,18 ,850 ,"6,324 ",637 ,151 ,733 ,297 ,"6,036 ","73,877 ", 
,沖　　　　縄, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"116,931 "
